Immigration Court,Judge,Total Decisions,% Granted Asylum,% Granted Other Relief,% Denied
Boston,"O'Malley, Brenda M.",978,66.2,0.6,33.2
Boston,"Feder, Robin E.",556,66.7,2.2,31.1
Boston,"Gagnon, Paul M.",131,67.2,1.5,31.3
Boston,"O'Sullivan, Maureen S.",1267,83.8,0.6,15.5
Buffalo,"Ruehle, Walter",716,31.4,1.8,66.8
Buffalo,"Hochul, Denise",533,44.1,3.6,52.3
Chaparral,"French, Kathleen",297,3.4,7.4,89.2
Chaparral,"Palomino, Jacinto",490,9.8,6.3,83.9
Chaparral,"Girvin, Ralph E.",122,11.5,14.8,73.8
Chaparral,"Fernandez, Lorely Ramirez",120,20,4.2,75.8
Chaparral,"Taylor, Brock E.",607,59.8,3.5,36.7
Charlotte,"Pettinato, Barry J.",327,1.5,0.3,98.2
Charlotte,"Riggs, George W.",555,2.5,0,97.5
Charlotte,"Couch, V. Stuart",449,5.3,0.2,94.4
Charlotte,"Lee, Amy T.",398,8.5,0.3,91.2
Charlotte,"Nance, Jeffery R.",473,10.4,1.1,88.6
Charlotte,"Lopez-Enriquez, Maria M.",270,11.5,3.3,85.2
Charlotte,"Holmes-Simmons, Theresa",372,17.7,1.1,81.2
Charlotte,"Harris, Rodger C.",597,18.3,2.5,79.2
Charlotte,"Criss, Scott D.",133,21.8,1.5,76.7
Chicago,"Ellison, Sarah M.",167,9,0.6,90.4
Chicago,"Giambastiani, Jennie L.",217,33.6,0.9,65.4
Chicago,"Defoe, Craig A.",892,35.4,0.8,63.8
Chicago,"Venci, Michelle",170,35.9,0,64.1
Chicago,"Naseem, Samia",448,37.3,0.2,62.5
Chicago,"Curran, Brendan C.",176,40.3,4,55.7
Chicago,"Salovaara, Kaarina",584,40.9,2.4,56.7
Chicago,"McKenna, Patrick M.",739,50.5,0.3,49.3
Chicago,"Rosche, Robin J.",590,52.9,2.9,44.2
Chicago,"Cole, Samuel B.",467,54.2,1.9,43.9
Chicago,"Mencini, Ana",137,56.2,0,43.8
Chicago,"Lang, Elizabeth G.",423,56.3,1.9,41.8
Chicago,"Deangelis, Kathryn L.",588,60.4,1.9,37.8
Chicago,"Luskin, Joshua D.",197,60.9,2,37.1
Chicago,"Stahl, Marc",267,61,0,39
Chicago,"Klosowsky, Michael",239,61.1,0.4,38.5
Chicago,"Saltzman, Eva S.",581,67.3,3.4,29.3
Chicago,"Klein, Eliza C.",209,69.4,1.9,28.7
Chicago,"Crites, Elizabeth",178,76.4,0,23.6
Chicago,"Patti, Sebastian T.",197,78.7,0.5,20.8
Chicago,"Peyton, Jennifer I.",373,82.6,1.9,15.5
Chicago,"Reynolds, Gina",130,90,0,10
Cleveland,"Brown, Alison M.",303,10.2,0.7,89.1
Cleveland,"Owens, Jonathan W.",319,12.2,2.8,85
Cleveland,"Seppanen, Christopher R.",262,13,0.8,86.3
Cleveland,"Riley, Teresa L.",455,13,2.6,84.4
Cleveland,"Horton, Monte J.",315,14,2.5,83.5
Cleveland,"McCarthy, James F., III",123,14.6,0.8,84.6
Cleveland,"Imbacuan, Bruce",111,16.2,11.7,72.1
Cleveland,"Riedthaler-Williams, Jennifer M.",194,16.5,4.6,78.9
Cleveland,"Pashayan, Donald",134,20.1,3.7,76.1
Cleveland,"Santoro, Jeremy",107,24.3,7.5,68.2
Cleveland,"Tripi, Michael",185,34.6,1.1,64.3
Cleveland,"Whipple, David C.",227,36.1,3.5,60.4
Conroe,"Walton, Richard D.",128,6.3,2.3,91.4
Conroe,"Cole, Timothy M.",108,7.4,0.9,91.7
Conroe,"May, Jennifer A.",137,8.8,0.7,90.5
Conroe,"Powell, Robert L.",327,9.5,5.5,85
Conroe,"Greenstein, Saul",135,9.6,1.5,88.9
Conroe,"Brisack, Chris A.",222,17.6,7.2,75.2
Conroe,"Sapp, Billy J.",329,18.5,4,77.5
Conroe,"Evans, Mark S.",166,21.1,5.4,73.5
Conroe,"D'Andrea, Holly A.",180,37.2,6.1,56.7
Dallas,"Sims, Deitrich H.",211,5.7,0.9,93.4
Dallas,"Ozmun, Richard R.",442,7.2,6.3,86.4
Dallas,"Kimball, R. Wayne",777,14.4,3.9,81.7
Dallas,"Eller, Donald R., Jr.",148,17.6,2,80.4
Dallas,"Thielemann, Christopher J.",185,20,3.8,76.2
Dallas,"John-Baptiste, Allan",171,20.5,1.8,77.8
Dallas,"Nugent, James A.",175,22.3,10.9,66.9
Dallas,"Davis-Gumbs, Xiomara Diana",298,23.5,8.7,67.8
Dallas,"Ferguson, Jason D.",191,35.1,4.7,60.2
Dallas,"Perez-Guzman, Virginia",433,36.3,8.5,55.2
Dallas,"Ellison, Sarah M.",117,51.3,5.1,43.6
Denver,"Masters, Bobbie C.",105,14.3,1.9,83.8
Denver,"O'Hare, Donald C.",472,18.9,0.2,80.9
Denver,"Corrin, Melanie K.",434,24.7,0.7,74.7
Denver,"Kaufman, Matthew W.",154,25.3,1.9,72.7
Denver,"Gardzelewski, Ivan E.",628,26.4,1.3,72.3
Denver,"Calcador, Kerri",137,30.7,3.6,65.7
Denver,"Trujillo, Eileen R.",511,39.9,1,59.1
Denver,"Kane, Alison R.",664,41.3,0.8,58
Denver,"Burgie, Brea C.",493,59,1.4,39.6
Detroit,"Jebson, Mark J.",543,19.2,2.9,77.9
Detroit,"Gorland, Jennifer M.",889,35.9,3,61.1
Detroit,"Simons, Ian R.",546,37.7,1.5,60.8
Detroit,"Paruch, David H.",332,42.8,1.8,55.4
El Paso,"Hough, Robert S.",108,5.6,4.6,89.8
El Paso,"Jacobs, Richard C.",104,13.5,5.8,80.8
El Paso,"Herbert, Nathan",129,25.6,7.8,66.7
El Paso,"Miller, James J., Jr.",115,39.1,7.8,53
El Paso - EPD,"Abbott, William L.",263,14.4,2.7,82.9
El Paso - EPD,"Pleters, Michael",155,19.4,3.9,76.8
El Paso - EPD,"Ruhle, Stephen M.",214,24.3,1.9,73.8
Elizabeth,"Golparvar, Kuyomars Q.",290,8.6,9.7,81.7
Elizabeth,"Tadal, Mirlande",201,11.9,2.5,85.6
Elizabeth,"Ellington, John P.",109,12.8,8.3,78.9
Elizabeth,"Finston, Leo A.",165,19.4,4.2,76.4
Elizabeth,"Pope, Jason L.",212,19.8,4.7,75.5
Elizabeth,"Shirole, Pallavi S.",126,20.6,2.4,77
Elizabeth,"Hartye, Alice S.",150,23.3,10,66.7
Eloy,"Davis, John W.",168,2.4,0,97.6
Eloy,"Phelps, Richard A.",286,28,3.1,68.9
Eloy,"Gaz, Jennifer I.",504,40.7,3.6,55.8
Eloy,"Habich, Paul M.",398,51.8,4,44.2
Eloy,"Penalosa, Jose Luis, Jr.",221,56.6,3.6,39.8
Florence,"Guerrero, Marni",205,9.8,6.8,83.4
Florence,"Taylor, Bruce A.",197,16.8,7.6,75.6
Florence,"Frazer, Molly S.",144,37.5,5.6,56.9
Harlingen,"Freeman, D'Anna H.",151,11.9,6,82.1
Harlingen,"Guidry, Monica Thompson",132,13.6,0,86.4
Harlingen,"Gonzalez, Delia I.",171,15.2,6.4,78.4
Harlingen,"Crews, John G.",184,16.3,1.1,82.6
Harlingen,"Achtsam, Howard E.",115,16.5,3.5,80
Harlingen,"Schools, Shelly W.",173,16.8,0.6,82.7
Harlingen,"Ellison, Sarah M.",114,20.2,3.5,76.3
Harlingen,"Leonard, Joseph T.",117,23.1,13.7,63.2
Harlingen,"Garcia, Melissa Joy",106,33,6.6,60.4
Hartford,"Straus, Michael W.",1618,21.9,0.6,77.5
Hartford,"Verrillo, Philip",543,33.3,1.3,65.4
Hartford,"Morris, Daniel A.",347,33.4,1.7,64.8
Honolulu,"Beamer, Dayna M.",522,44.3,0.2,55.6
Honolulu,"Wagner, Clarence M., Jr.",597,68.5,1.3,30.2
Houston,"Imbacuan, Bruce",105,0,0,100
Houston,"Brown, Sam, IV",976,2,0.8,97.1
Houston,"Harris, Monique",659,2.6,0,97.4
Houston,"Guidry, Monica Thompson",216,2.8,1.4,95.8
Houston,"Hughes, Erica",173,3.5,1.7,94.8
Houston,"McGuirk, Erica J.",208,3.8,2.4,93.8
Houston,"May, Jennifer A.",139,4.3,0,95.7
Houston,"Walton, Richard D.",657,4.6,2.6,92.8
Houston,"Gemoets, Marcos",1053,6.2,1.1,92.7
Houston,"Jamadar, Richard",704,7.4,1.3,91.3
Houston,"Gorman, Stephanie",510,8.4,0.6,91
Houston,"Khan, Anwer A.",618,8.6,1,90.5
Houston,"Picos, Georgina M.",1321,9.8,1.4,88.8
Houston,"Rankin Yates, Clarease Rankin",517,10.1,1.7,88.2
Houston,"Wang, Lynn",264,10.2,0,89.8
Houston,"Endelman, Gary E.",2005,10.3,1.2,88.5
Houston,"Brisack, Chris A.",144,10.4,2.1,87.5
Houston,"Bhagat, Nimmo",1919,11.1,0.9,88
Houston,"Freeman, D'Anna H.",107,12.1,0,87.9
Houston,"Greenstein, Saul",735,13.5,2.2,84.4
Houston,"Osborn, Joshua D.",236,17.8,3,79.2
Houston,"Ramos, Maritza",255,18.4,2,79.6
Houston,"Nguyen, Bao Q.",381,22.8,5,72.2
Houston - Gessner,"Brown, Kevin",301,2.7,8,89.4
Houston - Gessner,"Thompson, Kenley",117,5.1,23.9,70.9
Houston - Gessner,"Jenkins, Arkesia",194,5.7,19.1,75.3
Houston - Gessner,"Jones, Delana M.",209,5.7,21.1,73.2
Houston - Gessner,"McPhail, John",203,5.9,9.9,84.2
Houston - Gessner,"Rankin Yates, Clarease Rankin",341,6.2,11.1,82.7
Houston - Gessner,"Schumann, Christopher M.",260,6.2,19.6,74.2
Houston - Gessner,"Cordero Gonzalez, Miguel A.",156,9,17.9,73.1
Houston - Gessner,"Dvorak, Charissa",187,19.8,10.2,70.1
Houston - Greenspoint,"Guidry, Monica Thompson",117,4.3,3.4,92.3
Houston - Greenspoint,"Wells, Kenya",298,5.7,1,93.3
Houston - Greenspoint,"Schwab, Jodie",183,6.6,1.6,91.8
Houston - Greenspoint,"Landis, Brent H.",270,6.7,0.4,93
Houston - Greenspoint,"McGuirk, Erica J.",134,6.7,0.7,92.5
Houston - Greenspoint,"Pobjecky, Artie",199,7,1.5,91.5
Houston - Greenspoint,"Hempel, Nicholle M.",154,7.1,0,92.9
Houston - Greenspoint,"White, Romaine",224,8.5,0.4,91.1
Houston - Greenspoint,"Whitworth, Mark",215,10.2,5.1,84.7
Houston - Greenspoint,"Jovanovic, Adam",183,10.4,0,89.6
Houston - Greenspoint,"Lee, Alexander",286,14,0,86
Houston - Greenspoint,"Perez, Alex",164,15.9,0.6,83.5
Houston - Greenspoint,"Phan, Christopher",202,18.3,0,81.7
Houston - Greenspoint,"Tamez, Lydia",196,21.4,1.5,77
Hyattsville,"Bohrer, Matthew",168,27.4,0,72.6
Hyattsville,"Kanellakos, Thanos",122,45.9,0.8,53.3
Hyattsville,"Reilly, Kathleen",164,54.9,3,42.1
Hyattsville,"Igoe, Alison",156,59.6,5.1,35.3
Hyattsville,"Williams, Phillip T.",134,61.2,5.2,33.6
Hyattsville,"Niburg, Rebecca",146,67.1,1.4,31.5
Hyattsville,"Bowens, Tanisha",125,71.2,0.8,28
Hyattsville,"Rubenstein, John S.",226,77,0.9,22.1
Hyattsville,"Verma, Dinesh C.",173,78.6,8.7,12.7
Hyattsville,"Gansallo, Ayodele",135,79.3,2.2,18.5
Hyattsville,"Jones, David M.",199,81.4,0.5,18.1
Hyattsville,"Koelsch, David",380,86.3,1.3,12.4
Hyattsville,"Cubas, Claudia",268,88.8,0.4,10.8
Imperial,"Habich, Paul M.",130,30,0.8,69.2
Imperial,"Perry, Anne",341,33.7,6.5,59.8
Imperial,"Barcus, E. Mark",353,50.4,12.7,36.8
Imperial,"Pressman, Christian M.",200,51.5,7,41.5
Imperial,"Robinson, Eugene H., Jr.",210,51.9,16.7,31.4
Imperial,"Munoz, Jeffrey V.",176,73.9,2.8,23.3
Jena,"Landis, Brent H.",335,3.9,0.9,95.2
Jena,"Fuller, Steven B.",138,4.3,1.4,94.2
Jena,"Crooks, Grady A",243,4.9,0,95.1
Jena,"Thogersen, Cassie A.",179,6.7,1.7,91.6
Jena,"Munson, Angela",174,9.2,1.7,89.1
Jena,"Midgley, Ian D.",106,12.3,0.9,86.8
Jena,"Robbins, Kandra K.",142,20.4,0.7,78.9
Kansas City,"Salinardi, Jayme",770,4.4,0.6,94.9
Kansas City,"Baker, Glen R.",334,13.8,2.4,83.8
Kansas City,"Johnson, Colin Patrick",146,15.8,3.4,80.8
Kansas City,"Howard, Justin W.",1087,18.6,0.6,80.8
Laredo,"Adams, Justin",413,8.7,2.7,88.6
Laredo,"Hart, Brandon L.",116,16.4,6.9,76.7
Laredo,"Crossan, Thomas G., Jr.",163,18.4,1.8,79.8
Laredo,"Harlow, Craig A.",112,27.7,0.9,71.4
Laredo,"Newaz, Rifian S.",196,28.1,9.2,62.8
Laredo,"Eller, Donald R., Jr.",118,29.7,5.9,64.4
Laredo,"McCullough, Charles M.",104,35.6,0,64.4
Laredo,"Gonzalez, Yvonne",106,36.8,0,63.2
Laredo,"Lafuente-Gaona, Cynthia",112,43.8,6.3,50
Laredo,"Santander, Daniel J.",101,52.5,20.8,26.7
Las Vegas,"Sharda, Munish",435,3.2,1.8,94.9
Las Vegas,"Romig, Jeffrey L.",123,3.3,0,96.7
Las Vegas,"Alberdi, Yon K.",166,14.5,0.6,84.9
Las Vegas,"Daugherty, Daniel J.",111,18.9,2.7,78.4
Las Vegas,"McDermott, Ann M.",536,31.9,3.2,64.9
Las Vegas,"Nguyen, An Mai",389,45.2,2.8,51.9
Las Vegas,"Baker, Glen R.",447,54.4,2.2,43.4
Las Vegas,"Roberts, Lindsy M.",323,56.3,5.3,38.4
Los Angeles,"O'Connor, Lee A.",238,2.9,0.4,96.6
Los Angeles,"Miller, Jeffrey S.",280,9.3,1.8,88.9
Los Angeles,"Francis, Leon J.",830,10.8,0.2,88.9
Los Angeles,"Fellrath, Robert",105,13.3,1,85.7
Los Angeles,"Ruane, Rachel A.",409,14.4,12.7,72.9
Los Angeles,"Chon, Hye Y.",988,17.2,0.3,82.5
Los Angeles,"Burke, David H.",580,18.6,10.7,70.7
Los Angeles,"Juelle, Carlos R.",613,20.6,1.6,77.8
Los Angeles,"Sitgraves, Darcy D.",178,20.8,1.7,77.5
Los Angeles,"Waterloo, Jason",436,21.1,0.9,78
Los Angeles,"Martz, Nicholas A.",204,21.1,3.9,75
Los Angeles,"Jasso, Jaime",499,21.6,1.6,76.8
Los Angeles,"Bank, Ira E.",328,21.6,3.4,75
Los Angeles,"Latimore, Jan D.",342,21.9,1.8,76.3
Los Angeles,"Perry, Anne",113,22.1,1.8,76.1
Los Angeles,"Calcador, Kerri",229,24.5,0.9,74.7
Los Angeles,"Guerrero, Marni",140,25,2.1,72.9
Los Angeles,"Huddleston, Natalie",400,25.3,1.8,73
Los Angeles,"Tabaddor, Afsaneh Ashley",175,28.6,6.9,64.6
Los Angeles,"Miller, Nancy",449,29.2,3.1,67.7
Los Angeles,"Behne, Audra R.",425,29.4,2.8,67.8
Los Angeles,"Malvin, Daniel H.",242,31.8,2.1,66.1
Los Angeles,"Everett, Timothy R.",552,34.8,2.9,62.3
Los Angeles,"Bakke Varzandeh, Joyce A.",437,35.2,4.1,60.6
Los Angeles,"Costa, Philip J.",577,36.4,0.7,62.9
Los Angeles,"Patti, Sebastian T.",479,36.7,1,62.2
Los Angeles,"Virchis, Bridget",272,38.2,2.6,59.2
Los Angeles,"Simons, Anita L.",869,38.6,7,54.4
Los Angeles,"Desai, Jankhana",268,40.7,9.7,49.6
Los Angeles,"Dorfman, Arlene E.",265,41.1,0.4,58.5
Los Angeles,"Park, Jeannette Lim",258,41.9,3.5,54.7
Los Angeles,"Neumeister, David",206,42.2,0,57.8
Los Angeles,"Lee, Edward",277,44.8,1.8,53.4
Los Angeles,"Allen, Janette L.",258,50,0.8,49.2
Los Angeles,"Vahid-Tehrani, Gita",191,55.5,10.5,34
Los Angeles,"Stancill, Christine E.",647,56,1.7,42.3
Los Angeles,"Hong, Andrea",248,57.3,2.8,39.9
Los Angeles,"Villegas, Veronica S.",230,60.4,3.5,36.1
Los Angeles,"Siebert, Andrea",126,71.4,2.4,26.2
Los Angeles - North,"Hope, Karen",156,6.4,0,93.6
Los Angeles - North,"Naselow-Nahas, Tara",628,6.4,0.3,93.3
Los Angeles - North,"Piepmeier, Kristin",559,7.9,2,90.2
Los Angeles - North,"Amaya, Roberto",147,8.8,1.4,89.8
Los Angeles - North,"Riley, Kevin W.",492,9.1,1.4,89.4
Los Angeles - North,"Medved, Paul N.",244,10.7,0,89.3
Los Angeles - North,"Travieso, Frank M.",1396,12.1,1.1,86.8
Los Angeles - North,"Left, James M.",580,17.4,1.9,80.7
Los Angeles - North,"Hsu, Lily C",1017,21.5,0.6,77.9
Los Angeles - North,"Aina, Nathan N.",657,28.5,3,68.5
Los Angeles - North,"Maury, Carlos E.",149,38.3,7.4,54.4
Los Fresnos,"Baumgarten, Mary C.",150,3.3,0.7,96
Los Fresnos,"Hable, Paul A.",260,4.2,4.2,91.5
Los Fresnos,"Onyewuchi, Morris I.",404,5,2,93.1
Los Fresnos,"Powell, Robert L.",108,6.5,0,93.5
Los Fresnos,"Crews, John G.",184,7.1,2.2,90.8
Los Fresnos,"Pimentel, Frank T.",466,9.7,2.1,88.2
Los Fresnos,"Hoover, Forrest W., III",181,21.5,0,78.5
Los Fresnos,"Cigarroa, Barbara",240,23.3,2.1,74.6
Lumpkin,"Fuller, Steven B.",112,3.6,4.5,92
Lumpkin,"Duncan, Randall",281,8.5,1.1,90.4
Lumpkin,"Nance, Jeffery R.",175,11.4,5.7,82.9
Lumpkin,"Brown, Bianca, H",157,11.5,3.2,85.4
Lumpkin,"Criss, Scott D.",456,13.2,0.4,86.4
Lumpkin,"Trimble, Dan",343,13.4,2.3,84.3
Lumpkin,"Rothschild, Jerome M., Jr.",183,20.2,4.9,74.9
Memphis,"Miles, Vernon Benet",477,2.7,0.4,96.9
Memphis,"Hansell, Renae M.",673,4.3,0.6,95.1
Memphis,"Kinnicutt, Daniel P.",100,6,1,93
Memphis,"Johnson, Kelly S.",220,6.8,1.8,91.4
Memphis,"Averwater, Richard J.",441,12.7,0.5,86.8
Memphis,"Holt, Rebecca L.",797,12.8,0.9,86.3
Memphis,"Kaufman, Matthew W.",154,20.1,0,79.9
Memphis,"Campos, Alisha C.",226,21.2,0.4,78.3
Memphis,"Lake, Kelly B.",111,24.3,0,75.7
Memphis,"Newburn, Irma J.",112,25,0.9,74.1
Memphis,"Maldonado, Luis",147,28.6,2.7,68.7
Memphis,"Josephsen, Brandon J.",165,30.3,0,69.7
Memphis,"Russo, David",324,44.1,0,55.9
Memphis,"Clancy, Sean D.",102,69.6,3.9,26.5
Miami,"Nettles, Marsha K.",243,2.9,0.8,96.3
Miami,"Siegel, Stuart A.",465,6.7,0.2,93.1
Miami,"Martinez-Esquivel, Lourdes",913,6.7,1.4,91.9
Miami,"Brown, Charlotte D.",331,7.6,2.7,89.7
Miami,"Dowell, J. Daniel",911,7.7,0.7,91.7
Miami,"Horn, Michael C.",663,8,0.9,91.1
Miami,"Goodwin, Deborah K.",497,8.2,0.6,91.1
Miami,"Videla, Gabriel C.",1105,8.2,2.2,89.6
Miami,"Sanders, Charles J.",351,8.5,1.1,90.3
Miami,"Ayze, Thomas",1025,8.8,0.1,91.1
Miami,"Garcia, Madeline",901,9.3,0.7,90
Miami,"Torreh-Bayouth, Lilliana",678,9.4,0.1,90.4
Miami,"Marks Lane, Denise A.",524,9.4,1.7,88.9
Miami,"Walleisa, Michael",896,10.2,2.7,87.2
Miami,"Sogocio, Rico M.",815,10.4,0.9,88.7
Miami,"Page-Lozano, Jennifer Leigh",155,11.6,1.3,87.1
Miami,"Araneta, Michelle",307,11.7,0,88.3
Miami,"Holyoak, Dalin R.",474,14.1,1.1,84.8
Miami,"Alexander, Scott G.",1000,14.9,0.5,84.6
Miami,"Herman, Lakshmi",272,15.8,0,84.2
Miami,"Rosen, Benjamin",167,16.2,0,83.8
Miami,"Maingot, Anthony E.",823,17,3.2,79.8
Miami,"Mateo, Rene D.",228,18.9,0.9,80.3
Miami,"Rivera, Jose",520,19.2,0.4,80.4
Miami,"Balasquide, Javier E.",1216,20,0.2,79.8
Miami,"Burgess, Abraham L.",744,20.4,0.7,78.9
Miami,"Cole, Timothy M.",755,20.8,3.3,75.9
Miami,"Lerner, Romy",185,23.8,0,76.2
Miami,"Recio, Irene M.",377,23.9,1.6,74.5
Miami,"Rodriguez de Jongh, Lourdes A.",437,24,2.1,73.9
Miami,"Mander, Stephen E.",546,27.1,2.4,70.5
Miami,"Reis, Christine",435,33.3,0,66.7
Miami - Krome,"Opaciuch, John",111,2.7,3.6,93.7
Miami - Krome,"Martyak, Christina M.",143,2.8,2.1,95.1
Miami - Krome,"Pereira, Jorge L.",158,3.2,5.1,91.8
Miami - Krome,"Lopez-Enriquez, Maria M.",279,3.6,2.9,93.5
Miami - Krome,"Opaciuch, Adam",117,4.3,6.8,88.9
Miami - Krome,"Chait, Barry S.",369,10.3,2.4,87.3
Miami - Krome,"Siegel, Stuart A.",355,13,3.1,83.9
New Orleans,"Fluke, Randall L.",144,6.3,0,93.8
New Orleans,"Connelly, Steven J.",198,7.6,0,92.4
New Orleans,"Marquez, Charlotte",873,8.9,2.5,88.5
New Orleans,"Larocca, Joseph",1116,17.8,1.4,80.7
New Orleans,"Marsteller, Eric",732,20.2,3.7,76.1
New Orleans,"Guillory, Kevin P.",100,40,3,57
New York,"Menkin, Jeffrey L.",212,4.7,11.8,83.5
New York,"Burns, John",256,11.3,2.3,86.3
New York,"Spencer, Oshea Denise",649,21.4,0.5,78.1
New York,"Hom, Sandy K.",136,23.5,2.2,74.3
New York,"Vomacka, Alan A.",146,26,0.7,73.3
New York,"Perl, Adam",543,26.9,0,73.1
New York,"McKee, James",290,27.9,0,72.1
New York,"Lazare-Raphael, Shirley",769,29.6,0.8,69.6
New York,"Christensen, Jesse B.",1683,33.1,0.2,66.7
New York,"Siemietkowski, John",361,38,0,62
New York,"Palmer, Brian T.",646,38.1,0.9,61
